App/Platform Name,Publisher Name,Type,Site Rating (gray or white),Category,Behavioral Keywords,Market Requests,Audience
www.sussexexpress.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",34947948,UK General Market
www.livecharts.co.uk,,Digital Video,white,"Business, Finance & Jobs","Streaming, Digital Video",34515808,UK General Market
www.romfordrecorder.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",34487113,UK General Market
www.lep.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",34258759,UK General Market
www.joe.ie,,Digital Video,white,Entertainment & Pop Culture,"Streaming, Digital Video",33279559,UK General Market
www.northamptonchron.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",32892246,UK General Market
www.glamourmagazine.co.uk,,Digital Video,white,Entertainment & Pop Culture,"Streaming, Digital Video",32637777,UK General Market
www.falmouthpacket.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",32169517,UK General Market
tfl.gov.uk,,Digital Video,white,Travel & Transport,"Streaming, Digital Video",32108083,UK General Market
www.basingstokegazette.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",31437752,UK General Market
www.houseandgarden.co.uk,,Digital Video,white,"Home, Garden & Property","Streaming, Digital Video",31411220,UK General Market
www.dontgobaconmyheart.co.uk,,Digital Video,white,Radio & Audio,"Streaming, Digital Video",31312138,UK General Market
www.yorkshirepost.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",31073186,UK General Market
www.blackpoolgazette.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",31053164,UK General Market
www.greatyarmouthmercury.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",30399797,UK General Market
www.cheshire-live.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",29934085,UK General Market
puzzles.independent.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",29718198,UK General Market
www.homebuilding.co.uk,,Digital Video,white,"Home, Garden & Property","Streaming, Digital Video",29377248,UK General Market
www.aol.co.uk,,Digital Video,white,National News,"Streaming, Digital Video",28952460,UK General Market
www.motors.co.uk,,Digital Video,white,Auto & Motoring,"Streaming, Digital Video",28459548,UK General Market
www.autoexpress.co.uk,,Digital Video,white,Auto & Motoring,"Streaming, Digital Video",28458520,UK General Market
www.countytimes.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",28278318,UK General Market
www.derbyshiretimes.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",28166963,UK General Market
www.countrylife.co.uk,,Digital Video,white,"Home, Garden & Property","Streaming, Digital Video",27604968,UK General Market
www.kidderminstershuttle.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",27430982,UK General Market
www.burytimes.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",27341343,UK General Market
www.somersetcountygazette.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",27144957,UK General Market
www.hampshirechronicle.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",26712098,UK General Market
www.stampdutycalculator.org.uk,,Digital Video,white,"Business, Finance & Jobs","Streaming, Digital Video",26639248,UK General Market
glutenfreecuppatea.co.uk,,Digital Video,white,Food & Recipes,"Streaming, Digital Video",26596975,UK General Market
www.salisburyjournal.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",26157026,UK General Market
www.theoldhamtimes.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",26120407,UK General Market
www.wiltshiretimes.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",25930355,UK General Market
www.footballscotland.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",25799737,UK General Market
healthylivingjames.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",25188068,UK General Market
www.yourlocalguardian.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",25147859,UK General Market
www.vogue.co.uk,,Digital Video,white,Entertainment & Pop Culture,"Streaming, Digital Video",24841710,UK General Market
www.rhyljournal.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",24424347,UK General Market
www.phrases.org.uk,,Digital Video,white,Education & Reference,"Streaming, Digital Video",24403758,UK General Market
www.lincsonline.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",24352678,UK General Market
